HASH(0x1d198a8)	HASH(0x1d198b4)	HASH(0x1d198f0)	HASH(0x1d1992c)	HASH(0x1d19968)
'Générateur / Récepteur'	'Generator / Receiver'	'Abgabe / Bezug'	HASH(0x1f6ace4)	'Generatore / Rcevitore'
'Grandeur'	'Parameter'	'Parameter'	HASH(0x1f6af18)	'Parameto'
'Grandeur à enregistrer'	'Parameter to record'	'Aufzuzeichnende Parameter'	HASH(0x1f6dc50)	'Parametro da registrare'
'Grandeur assignée à la LED métrologique'	'Parameter assigned to metrology LED'	'Parameter'	HASH(0x1f6de84)	'Parametro assegnato al LED'
'Grandeur associée'	'Associated parameter'	'Zugeordnete Messgrösse'	HASH(0x1f6e0b8)	'Parametro associato'
'Graph CC'	'Graph Lc'	HASH(0x1f6e28c)	HASH(0x1f6e2ec)	HASH(0x1f6e34c)
'Graph CE'	'Graph Tc'	HASH(0x1f6e478)	HASH(0x1f6e4d8)	HASH(0x1f6e538)
'Graphique d'#39'harmoniques'	'Harmonic graph'	HASH(0x1f6e664)	HASH(0x1f6e6c4)	HASH(0x1f6e724)
'GraphProperty'	'Graph Properties'	HASH(0x1f6e850)	HASH(0x1f6e8b0)	HASH(0x1f6e910)
'Harmonique courant'	'Current Harmonic'	'Strom Harmonische'	HASH(0x1f6ea9c)	'Harmoniche di corrente'
'Harmonique Ph-Ph'	'Ph-Ph Harmonic'	'Ph-Ph Harmonische'	HASH(0x1f747c4)	'Armoniche Ph-Ph'
'Harmoniques'	'Harmonics'	'Harmonische'	HASH(0x1f749f8)	'Armoniche'
'Heure locale'	'Local time'	'Lokale Zeit'	HASH(0x1f74c2c)	'Ora locale'
'Heure produit'	'Equipment time'	'Geräte Uhrzeit'	HASH(0x1f74e60)	'Ora dell'#39'apparecchio'
'I1'	'I1'	'I1'	HASH(0x1f75094)	'I1'
'I2'	'I2'	'I2'	HASH(0x1f752c8)	'I2'
'I3'	'I3'	'I3'	HASH(0x1f754fc)	'I3'
'IHM'	'MMI'	'MMI'	HASH(0x1f7a284)	'MMI'
'Impaire'	'Odd'	'Ungleich'	HASH(0x1f7a4b8)	'Dispari'
'imprimée sur la pochette du disque d'#39'installation.'	'printed on the package of the installation CD.'	'Auf dem Packet der InstallationsCD aufgedruckt'	HASH(0x1f7a6ec)	'stampato sulla confezione del CD'
'Imprimer'	'Print'	'Drucken'	HASH(0x1f7a920)	'Stampa'
'Imprimer tous'	'Print all'	'Alles drucken'	HASH(0x1f7ab54)	'Stampa tutto'
'Imprimer tout|Imprime  toutes les pages'	'Print all|Print all pages'	'Alles drucken|Alle Seiten drucken'	HASH(0x1f7ad88)	'Stampa tutto|Stampa tutto sulle pagine'
'Imprimer|Imprime la page '	'Print|Print page'	'Drucken|Seite drucken'	HASH(0x1f7afbc)	'Stampa|Stampa pagina'
'Inconnu'	'Unknown'	'Unbekannt'	HASH(0x1f7de1c)	'Sconosciuto'
'Index énergies'	'Energy indexes'	'Energie Index'	HASH(0x1f7e050)	'Indice di energia'
'Index entrées impulsions'	'Pulse input index'	'Impuls Eingang Index'	HASH(0x1f7e284)	'Indice impulso in ingresso'
'Inductif'	'Inductive'	HASH(0x1f7e458)	HASH(0x1f7e4b8)	HASH(0x1f7e518)
'info@enerdis.fr'	'info@enerdis.fr'	'info@enerdis.fr'	HASH(0x1f7e6a4)	'info@enerdis.fr'
'Infos produit'	'Product Infos'	'Produktinfo'	HASH(0x1f7e8d8)	'Info prodotto'
'Infra Rouge'	'Infra red'	'Infrarot'	HASH(0x1f7eb0c)	'Infrarossi'
'Italiano'	'Italiano'	'Italiano'	HASH(0x1f81804)	'Italiano'
'Journal des alarmes'	'Alarms journal'	'Alarm-Protokoll'	HASH(0x1f81a38)	'Storico allarmi'
'kVAh'	'kVAh'	'kVAh'	HASH(0x1f81c6c)	'kVAh'
'kvarh'	'kvarh'	'kvarh'	HASH(0x1f81ea0)	'kvarh'
'kWh'	'kWh'	'kWh'	HASH(0x1f820d4)	'kWh'
'Label'	'Label'	'Bezeichnung'	HASH(0x1f82308)	'Etichetta'
'Label '	'Label '	'Bezeichnung '	HASH(0x1f8253c)	'Etichetta '
'Label de la grandeur sur 7 caractères maximum'	'Parameter label on 7 characters maximum'	'Bezeichnung maximal 7 Zeichen'	HASH(0x1f82770)	'Etichetta di 7 caratteri massimo'
'Label(s) concerné(s)'	'Label(s) concerned'	HASH(0x1f87530)	HASH(0x1f87590)	HASH(0x1f875f0)
'Langage'	'Language'	'Sprache'	HASH(0x1f8777c)	'Lingua'
'Langue'	'Language'	'Sprache'	HASH(0x1f879b0)	'Lingua'
'Largeur d'#39'une impulsion'	'Pulse width'	'Impulsbreite'	HASH(0x1f87be4)	'Ampiezza impulso'
'Ligne 1'	'Line 1'	'Leitung 1'	HASH(0x1f87e18)	'Linea 1'
'Ligne 2'	'Line 2'	'Leitung 2'	HASH(0x1f8804c)	'Linea 2'
'Ligne 3'	'Line 3'	'Leitung 3'	HASH(0x1f88280)	'Linea 3'
'Ligne 4'	'Line 4'	'Leitung 4'	HASH(0x1f8bf70)	'Linea 4'
'Listes des appareils de l'#39'architecture métier'	'Equipment list in the installed base structure'	'Liste der Einheiten'	HASH(0x1f8c1a4)	'Lista apparecchi installata sulla struttura base'
'Listes des grandeurs'	'List of parameters'	HASH(0x1f8c378)	HASH(0x1f8c3d8)	HASH(0x1f8c438)
'Logiciel de configuration '	'Setting software'	'Einstellungen Software'	HASH(0x1f8c5c4)	'Configurazione software'
'M1'	'M1'	'M1'	HASH(0x1f8c7f8)	'M1'
'M2'	'M2'	'M2'	HASH(0x1f8ca2c)	'M2'
'M3'	'M3'	'M3'	HASH(0x1f8cc60)	'M3'
'M4'	'M4'	'M4'	HASH(0x1f8fa38)	'M4'
'Marqueurs'	'Markers'	HASH(0x1f8fc0c)	HASH(0x1f8fc6c)	HASH(0x1f8fccc)
'Masque de sous réseau'	'Network Mask'	HASH(0x1f8fdf8)	HASH(0x1f8fe58)	HASH(0x1f8feb8)
'max'	'max'	'max'	HASH(0x1f90044)	'max'
'Max'	'Max'	'Max'	HASH(0x1f90278)	'Max'
'MAX'	'MAX'	'MAX'	HASH(0x1f904ac)	'MAX'
'Max.'	'Max.'	'Max.'	HASH(0x1f906e0)	'Max.'
'Maxima puissances'	'Power Max'	'Maximaler Strom'	HASH(0x1f90914)	'Potenza Max'
'Métrologie'	'Metrology'	'Metrologie'	HASH(0x1f93634)	'Metrologia'
'min'	'min'	'min'	HASH(0x1f93868)	'min'
'Min'	'Min'	'Min'	HASH(0x1f93a9c)	'Min'
'MIN'	'MIN'	'MIN'	HASH(0x1f93cd0)	'MIN'
'Minima puissances'	'Power Min'	'Minimaler Strom'	HASH(0x1f93f04)	'Potenza Min'
'Mise à l'#39'heure du produit'	'Equipment time setting'	'Einheit Zeiteinstellung'	HASH(0x1f94138)	'Configurazione ora prodotto'
'Mise à l'#39'heure manuelle'	'Manual time setting'	'manuelle Zeiteinstellung'	HASH(0x1f9436c)	'Configurazione manuale ora'
'Mode d'#39'arrêt'	'Stop mode'	'Stop'	HASH(0x1f9813c)	'Modo arresto'
'Modem'	'Modem'	'Modem'	HASH(0x1f98370)	'Modem'
'Modem et numéro de téléphonne'	'Modem and phone number'	'Modem und Telefonnummer'	HASH(0x1f985a4)	'Modem e numero telefonico'
'Monter'	'Up'	'Auf'	HASH(0x1f987d8)	'Su'
'Mot de passe'	'Password'	'Passwort'	HASH(0x1f98a0c)	'Password'
'Mot de passe pour l'#39'IHM locale du produit'	'Equipment local MMI password'	'Lokales Passwort der Einheit'	HASH(0x1f98c40)	'Password locale del prodotto MMI'
'Nb. stop bit'	'Stop bit Nb'	'Stop bit Nb'	HASH(0x1f98e74)	'Nb bit di stop'
'NF'	'NC'	'NC'	HASH(0x1f9cc3c)	'NC'
'Niveau d'#39'activation'	'Activation level'	'Aktivierungsniveau'	HASH(0x1f9ce70)	'Livello di attivazione'
'NO'	'NO'	'NEIN'	HASH(0x1f9d0a4)	'NO'
'Nom de l'#39'appareil'	'Equipment name'	'Name der Einheit'	HASH(0x1f9d2d8)	'Nome prodotto'
'Nom de l'#39'entrée|indiquez le nom de l'#39'entrée Tor'	'Input name|Give BIN input name'	'Eingangsname|BIN Eingang benennen'	HASH(0x1f9d50c)	'Nome ingresso|Assegnare nome ingresso DIG'
'Nombre de digit après la virgule'	'Number of digit after decimal point'	'Dezimalstellung'	HASH(0x1f9d740)	'Numero di cifre dopo la virgola'
'Nouveau Canal de communication'	'New communication channel'	'Neuer Kommunikationskanal'	HASH(0x1f9d974)	'Nuovo canale di comunicazione'
'Nouveau canal de communication|Crée un nouveau canal de communication'	'New communication channel|Create new communication channel'	'Neuer Kommunikationskanal|einen neuen Kommunikationskanal erstellen'	HASH(0x1fa1824)	'Nuovo canale di comunicazione|Crea un nuovo canale di comunicazione'
'Nouveau dossier'	'New folder'	'Neues Verzeichnis'	HASH(0x1fa1a58)	'Nuova cartella'
'Nouveau dossier|Crée un nouveau dossier'	'New folder|Create new folder'	'Neues Verzeichnis|ein neues Verzeichnis anlegen'	HASH(0x1fa1c8c)	'Nuova cartella|Crea una nuova cartella'
'Nouvel Appareil'	'New Equipment'	'Neues Gerät'	HASH(0x1fa1ec0)	'Nuovo apparcchio'
'Numéro d'#39'appareil'	'Equipment number'	'Nummer der Einheit'	HASH(0x1fa20f4)	'Apparecchio numero'
'Numéro de port'	'Port number'	'Portnummer'	HASH(0x1fa2328)	'Porta numero'
'OK'	'OK'	'OK'	HASH(0x1fa255c)	'OK'
'Onglets à droite'	'Right-hand folder'	'Rechter Ordner'	HASH(0x1fa2790)	'Cartelle a destra'
'Onglets à gauche'	'Left-hand folder'	'Linker Ordner'	HASH(0x1fa66e8)	'Cartelle a sinistra'
'Onglets en bas'	'Lower folders'	'Unterer Ordner'	HASH(0x1fa691c)	'Cartelle inferiori'
'Onglets en haut'	'Upper folders'	'Oberer Ordner'	HASH(0x1fa6b50)	'Cartelle superiori'
'Onglets sur plusieurs lignes'	'Folders over more than one line'	'Ordner auf mehreren Linien'	HASH(0x1fa6d84)	'Cartelle su più di una linea'
'Options d'#39'affichage ...'	'Display options ...'	'Optionen Anzeige ...'	HASH(0x1fa6fb8)	'Opzioni schermo...'
'Ordre de Phase'	'Phase sequence'	'Anordnung Phase'	HASH(0x1fa71ec)	'Ordine delle frasi'
'OU'	'OR'	'ODER'	HASH(0x1fa7420)	'OR'
'Ouvert'	'Open'	'Öffnen'	HASH(0x1faa270)	'Aperto'
'Ouvrir'	'Open'	'Öffnen'	HASH(0x1faa4a4)	'Aprire'
'Ouvrir|Ouvre la page enregistrée'	'Open|Open saved page'	'Öffnen|Öffnen gespeicherte Seite'	HASH(0x1faa6d8)	'Aprire|Apri salvataggio di pagina'
'Ouvrir|Recharge le contenu d'#39'un ficher'	'Open|Reload the content of a file'	'Öffnen|Erneutes Laden einer gespeicherte Seite'	HASH(0x1faa90c)	'Aprire|Riapri il contenuto del file'
'P-'	'P-'	'P-'	HASH(0x1faab40)	'P-'
'P+'	'P+'	'P+'	HASH(0x1faad74)	'P+'
'Page d'#39'acceuil'	'Home page'	'Home page'	HASH(0x1faafa8)	'Home page'
'Pair'	'Even'	'Gleich'	HASH(0x1fafda0)	'Pari'
'Paramètrage'	'Setting'	'Einstellungen'	HASH(0x1faffd4)	'Configurazione'
'Paramètre de recherche'	'Scanning parameters'	'Parameter Suchlauf'	HASH(0x1fb0208)	'Parametri di ricerca'
'Paramètres'	'Parameters'	'Parameter'	HASH(0x1fb043c)	'Parametri'
'Parité'	'Parity'	'Parität'	HASH(0x1fb0670)	'Parità'
'Parité COM RS485'	'RS485 COM parity'	'RS485 COM Parität'	HASH(0x1fb08a4)	'Parità RS485 COM'
'Passerelle IP'	'IP Gateway'	'IP Gateway'	HASH(0x1fb0ad8)	'Gateway IP'
'Passerelle réseau'	'Network getway'	HASH(0x1fb3820)	HASH(0x1fb3880)	HASH(0x1fb38e0)
'Période d'#39'enregistrement'	'Recording time period'	'Aufzeichnungsperiode'	HASH(0x1fb3a6c)	'Periodo di registrazione'
'Période d'#39'intégration des valeurs moyennes'	'Average values integration period'	'Aufzeichnungsperiode Mittelwerte'	HASH(0x1fb3ca0)	'Media periodo di integrazione'
'Phase 1'	'Phase 1'	'Phase 1'	HASH(0x1fb3ed4)	'Phase 1'
'Phase 2'	'Phase 2'	'Phase 2'	HASH(0x1fb4108)	'Phase 2'
'Phase 3'	'Phase 3'	'Phase 3'	HASH(0x1fb433c)	'Phase 3'
'Poids'	'Weigh'	'Weigh'	HASH(0x1fb4570)	'Peso'
'Poids d'#39'impulsion'	'Pulse weigh'	'Impulsweite'	HASH(0x1fb47a4)	'Periodo di impulso'
'Port de communication'	'Communication port'	'Kommunikationsanschluss'	HASH(0x1fb85a4)	'Porta di comunicazione'
'Port série'	'Serial port'	'Serieller Anschluss'	HASH(0x1fb87d8)	'Porta seriale'
'Pour les versions de démonstrations, la clef d'#39'activation est '	'For the demo versions, the activation key is '	'Der Aktivierungsschlüssel für die Demo version ist '	HASH(0x1fb8a0c)	'Per la versione demo la chiave è'
'Précision'	'Accuracy'	'Präzision'	HASH(0x1fb8c40)	'Precisione'
'Présence Tension / Courant'	'Presence Voltage / Current'	'Präsenz Spannung / Strom'	HASH(0x1fb8e74)	'Presenza di Tensione / Corrente'
'Produit'	'Equipment'	'Produkt'	HASH(0x1fb90a8)	'Prodotto'
'Propriété'	'Properties'	HASH(0x1fb927c)	HASH(0x1fb92dc)	HASH(0x1fb933c)
'Puissance'	'Power'	'Energie'	HASH(0x1fbc0ec)	'Potenza'
'Puissance moyenne'	'Average Power'	'Mittelwert Energie'	HASH(0x1fbc320)	'Potenza media'
'Puissances'	'Powers'	'Energien'	HASH(0x1fbc554)	'Potenze'
'Purge'	'Purge'	HASH(0x1fbc728)	HASH(0x1fbc788)	HASH(0x1fbc7e8)
'Purge de la base de données'	'Database Purge'	HASH(0x1fbc914)	HASH(0x1fbc974)	HASH(0x1fbc9d4)
'Q1'	'Q1'	'Q1'	HASH(0x1fbcb60)	'Q1'
'Q2'	'Q2'	'Q2'	HASH(0x1fbcd94)	'Q2'
'Q3'	'Q3'	'Q3'	HASH(0x1fc09fc)	'Q3'
'Q4'	'Q4'	'Q4'	HASH(0x1fc0c30)	'Q4'
'Quitter'	'Quit'	'Verlassen'	HASH(0x1fc0e64)	'Esci'
'Rafraîchir'	'Refresh'	'Aktualisieren'	HASH(0x1fc1098)	'Rinfresca'
'Rafraîchir tout'	'Refresh all'	'Alles Aktualisieren'	HASH(0x1fc12cc)	'Rinfresca tutto'
'Rafraîchir tout|Recharge toutes les données de l'#39'appareil'	'Refresh all|Reload all the data of the equipment'	'Alles Aktualisieren|Daten aller Geräte auslesen'	HASH(0x1fc1500)	'Rinfresca tutto|Ricarica tutti i dati del prodotto'
'Rafraîchir|Rafraîchir la page'	'Refresh|Refresh page'	'Aktualisieren|Seite aktualisieren'	HASH(0x1fc1734)	'Rinfresca|Rinfresca la pagina'
'RAZ'	'Reset'	'Zurücksetzen'	HASH(0x1fc1968)	'Reset'
'RAZ complet des alarmes'	'Alarm total reset'	'Alarm Total zurücksetzen'	HASH(0x1fc5820)	'Reset allarmi globali'
'RAZ Compteur horaire temps de fonctionnement'	'Operating hour meter reset'	'Betriebsdauermesser zurücksetzen'	HASH(0x1fc5a54)	'Reset del conta-ora'
'RAZ Compteur horaire temps présence courant'	'Current presence hour meter reset'	'Strom Betriebsdauermesser zurücksetzen'	HASH(0x1fc5c88)	'Reset del conta-ora di corrente'
'RAZ Compteur horaire temps présence tension'	'Voltage presence hour meter reset'	'Spannung Betriebsdauermesser zurücksetzen'	HASH(0x1fc5ebc)	'Reset del conta-ora di tensione'
'RAZ des index d'#39'énergies'	'Energy indexes reset'	'Energieindices zurücksetzen'	HASH(0x1fc60f0)	'Reset indice di energia'
'RAZ des maxima'	'Maxima reset'	'Maximalwert zurücksetzen'	HASH(0x1fc6324)	'Reset Maxima'
'RAZ des minima'	'Minima reset'	'Minimalwert zurücksetzen'	HASH(0x1fc6558)	'Reset Minima'
'RAZ des moyennes'	'Average reset'	'Mittelwert zurücksetzen'	HASH(0x1fc9480)	'Reset media'
'Raz des valeurs Max'	'Maxima reset'	'Maximalwert zurücksetzen'	HASH(0x1fc96b4)	'Reset Maxima'
'Raz des valeurs Min'	'Minima reset'	'Minimalwert zurücksetzen'	HASH(0x1fc98e8)	'Reset Minima'
'Raz des valeurs Min / Max'	'Min / Max reset'	'Minimal- / Maximalwert zurücksetzen'	HASH(0x1fc9b1c)	'Reset Min / Max'
'Raz des valeurs moyennes'	'Average values reset'	'Mittelwerte zurücksetzen'	HASH(0x1fc9d50)	'Reset valori medi'
'RAZ du compteur'	'Counter reset'	'Zähler zurücksetzen'	HASH(0x1fc9f84)	'Reset contatore'
'RAZ du journal des alarmes'	'Alarm journal reset'	'Alarmjournal zurücksetzen'	HASH(0x1fca1b8)	'Reset storico allarmi'
'RAZ du mot d'#39'état des alarmes'	'Alarm status reset'	'Alarmstatus zurücksetzen'	HASH(0x1fcdfd8)	'Reset stato degli allarmi'
'RAZ sortie impulsion'	'Pulse output reset'	'Impulsausgang zurücksetzen'	HASH(0x1fce20c)	'Reset uscita impulso'
'Récepteur'	'Receiver'	'Empfänger'	HASH(0x1fce440)	'Ricevitore'
'Rechercher'	'Scan'	'Suchen'	HASH(0x1fce674)	'Ricerca'
'Rechercher des appareils|Recherche sur un canal les appareils actifs apparants'	'Scan equipments|Scan on a channel the active equipments'	'Einheiten Suchen|auf einem Kanal nach aktiven Einheiten suchen'	HASH(0x1fce8a8)	'Ricerca prodotto|Ricerca sul canale attivo del prodotto'
'Réglage de l'#39'écran'	'Display setting'	'Einstellungen Anzeige'	HASH(0x1fceadc)	'Configurazione display'
'Relève'	'Upload'	'Hochladen'	HASH(0x1fced10)	'Upload'
'Relève complète'	'Complete upload'	'Komplett Hochladen'	HASH(0x1fd3c08)	'Upload completo'
'Relève partielle'	'Partial upload'	'Teilweise Hochladen'	HASH(0x1fd3e3c)	'Upload parziale'
'Renommer'	'Rename'	'Umbennen'	HASH(0x1fd4070)	'Rinomina'
'Renommer|Renommer'	'Rename|Rename'	HASH(0x1fd4244)	HASH(0x1fd42a4)	HASH(0x1fd4304)
'Rétro éclairage'	'Back-Light'	HASH(0x1fd4430)	HASH(0x1fd4490)	HASH(0x1fd44f0)
'Rétro élclairage'	'Back-Light'	'Hintergrundbeleuchtung'	HASH(0x1fd467c)	'Retroilluminazione'
'S-'	'S-'	'S-'	HASH(0x1fd48b0)	'S-'
'S+'	'S+'	'S+'	HASH(0x1fd4ae4)	'S+'
'Sans'	'None'	'Keine'	HASH(0x1fd77e4)	'Nessuno'
'Saturation'	'Saturation'	'Sättigung'	HASH(0x1fd7a18)	'Saturazione'
'Saturation Basse'	'Saturation Low'	'Sättigung tief'	HASH(0x1fd7c4c)	'Saturazione bassa'
'Saturation Haute'	'Saturation High'	'Sättigung hoch'	HASH(0x1fd7e80)	'Saturazione alta'
'Sauvegarde configuation'	'Save configuration'	HASH(0x1fd8054)	HASH(0x1fd80b4)	HASH(0x1fd8114)
'Sélection de la langue sur le produit'	'Equipment language selection'	'Einstellung Sprache'	HASH(0x1fd82a0)	'Selezione lingua del prodotto'
'Set-up Software'	'Set-up Software'	'Set-up Software'	HASH(0x1fd84d4)	'Set-up Software'
'Seuil'	'Threshold'	'Schwellwert'	HASH(0x1fdc25c)	'Soglia'
'Slot A'	'Slot A'	'Slot A'	HASH(0x1fdc490)	'Slot A'
'Slot A compteur 1'	'Slot A counter 1'	'Slot A Zähler 1'	HASH(0x1fdc6c4)	'Contatore 1 Slot A'
'Slot A compteur 2'	'Slot A counter 2'	'Slot A Zähler 2'	HASH(0x1fdc8f8)	'Contatore 2 Slot A'
'Slot A, voie 1'	'Slot A, Channel 1'	'Slot A, Kanal 1'	HASH(0x1fdcb2c)	'Slot A, Canale 1'
'Slot A, voie 2'	'Slot A, Channel 2'	'Slot A, Kanal 2'	HASH(0x1fdcd60)	'Slot A, Canale 2'
'Slot B'	'Slot B'	'Slot B'	HASH(0x1fdcf94)	'Slot B'
'Slot B compteur 1'	'Slot B counter 1'	'Slot B Zähler 1'	HASH(0x1fdfce4)	'Contatore 1 Slot B'
'Slot B compteur 2'	'Slot B counter 2'	'Slot B Zähler 2'	HASH(0x1fdff18)	'Contatore 2 Slot B'
'Slot B, voie 1'	'Slot B, Channel 1'	'Slot B, Kanal 1'	HASH(0x1fe014c)	'Slot B, Canale 1'
'Slot B, voie 2'	'Slot B, Channel 2'	'Slot B, Kanal 2'	HASH(0x1fe0380)	'Slot B, Canale 2'
'Slot C'	'Slot C'	'Slot C'	HASH(0x1fe05b4)	'Slot C'
'Slot C compteur 1'	'Slot C counter 1'	'Slot C Zähler 1'	HASH(0x1fe07e8)	'Contatore 1 Slot C'
'Slot C compteur 2'	'Slot C counter 2'	'Slot C Zähler 2'	HASH(0x1fe0a1c)	'Contatore 2 Slot C'
'Slot C, voie 1'	'Slot C, Channel 1'	'Slot C, Kanal 1'	HASH(0x1fe580c)	'Slot C, Canale 1'
'Slot C, voie 2'	'Slot C, Channel 2'	'Slot C, Kanal 2'	HASH(0x1fe5a40)	'Slot C, Canale 2'
'Slot D'	'Slot D'	'Slot D'	HASH(0x1fe5c74)	'Slot D'
'Slot D compteur 1'	'Slot D counter 1'	'Slot D Zähler 1'	HASH(0x1fe5ea8)	'Contatore 1 Slot C'
'Slot D compteur 2'	'Slot D counter 2'	'Slot D Zähler 2'	HASH(0x1fe60dc)	'Contatore 2 Slot C'
'Slot D, voie 1'	'Slot D, Channel 1'	'Slot D, Kanal 1'	HASH(0x1fe6310)	'Slot D, Canale 1'
'Slot D, voie 2'	'Slot D, Channel 2'	'Slot D, Kanal 2'	HASH(0x1fe6544)	'Slot D, Canale 2'
'Slot X'	'Slot X'	'Slot X'	HASH(0x1fe6778)	'Slot X'
'Slot Y'	'Slot Y'	'Slot Y'	HASH(0x1fe9508)	'Slot Y'
'Sortie'	'Output'	'Ausgang'	HASH(0x1fe973c)	'Uscita'
'Sortie Analogique'	'Analog output'	'Analogausgang'	HASH(0x1fe9970)	'Uscita analogica'
'Sortie relais associée'	'Associated relay output'	'Verbundener Relaisausgang'	HASH(0x1fe9ba4)	'Uscita relè associata'
'Sortie TOR'	'Binary output'	'Binärausgang'	HASH(0x1fe9dd8)	'Uscita digitale'
'Sorties analogique'	'Analog outputs'	'Analogausgänge'	HASH(0x1fea00c)	'Uscite analogiche'
'Sorties analogiques'	'Analog outputs'	'Analogausgänge'	HASH(0x1fea240)	'Uscite analogiche'
'Sorties Analogiques'	'Analog outputs'	'Analogausgänge'	HASH(0x1fedfe8)	'Uscite analogiche'
'Sorties automates'	'PLC outputs'	HASH(0x1fee1bc)	HASH(0x1fee21c)	HASH(0x1fee27c)
'Sorties impulsions'	'Pulse outputs'	'Impulsausgänge'	HASH(0x1fee408)	'Uscita impulso'
'Sorties TOR'	'BIN outputs'	'Binärausgänge'	HASH(0x1fee63c)	'Uscita BIN'
'Supprimer'	'Delete'	'Löschen'	HASH(0x1fee870)	'Cancella'
'Supprimer|Supprime l'#39'éléments sélectionnés'	'Delete|Delete the selected item'	'Löschen|Auswahl löschen'	HASH(0x1feeaa4)	'Cancella|Cancella l'#39'oggetto selezionato'
'Synchro horaire'	'Time synchro'	'Zeitsynchronisation'	HASH(0x1feecd8)	'Sincronizza ora'
'Synchro Horaire'	'Time Synchro'	'Zeitsynchronisation'	HASH(0x1ff1a78)	'Sincronizza Ora'
'Synchronisation|Verifie la cohérence de la configuration par rapport à l'#39'appareil'	'Synchronize|Check the consistency of the configuration vs equipment'	'Synchronisation|überprüfung der Konfiguration und dem Modell'	HASH(0x1ff1cac)	'Sincronizzazione|Controlla la della configurazione con il prodotto'
'Synchroniser'	'Synchronise'	'Synchronisation'	HASH(0x1ff1ee0)	'Sincronizza'
'T = '	'T = '	'T = '	HASH(0x1ff2114)	'T = '
'Tableau d'#39'harmoniques'	'Harmonic table'	HASH(0x1ff22e8)	HASH(0x1ff2348)	HASH(0x1ff23a8)
'Taille'	'Size'	'Grösse'	HASH(0x1ff2534)	'Dimensione'
'Taille de la courbe'	'Size of the curve'	'Grösse der Kurve'	HASH(0x1ff2768)	'Dimensione della curva'
'Taille de la variable'	'Variable format'	'Format Variable'	HASH(0x1ff299c)	'Formato variabile'
'Taux d'#39'harmoniques'	'Harmonic rates'	'Rate der Harmonische'	HASH(0x1ff582c)	'Tasso di armoniche'
'Taux de remplissage'	'Filling rate'	'Füllrate'	HASH(0x1ff5a60)	'Tasso di riempimento'
'TBCommAdr'	'TBCommAdr'	'TBCommAdr'	HASH(0x1ff5c94)	'TBCommAdr'
'TC primaire'	'Primary CT'	'Primar CT'	HASH(0x1ff5ec8)	'CT Primario'
'TC secondaire'	'Secondary CT'	'Sekundär CT'	HASH(0x1ff60fc)	'CT Secondario'
'Tél. : +33 1 47 46 78 00'	'Tél. : +33 1 47 46 78 00'	'Tél. : +33 1 47 46 78 00'	HASH(0x1ff6330)	'Tél. : +33 1 47 46 78 00'
'Tempo. (s)'	'Tempo. (s)'	'Zeit(en)'	HASH(0x1ff6564)	'Tempo. (s)'
'Temps d'#39'intégration'	'Integration period'	'Integrationszeit'	HASH(0x1ffb3a4)	'Periodo di integrazione'
'Temps de défilement (s)'	'Scrolling time (s)'	'Blättern Zeit'	HASH(0x1ffb5d8)	'Tempo di ricerca (s)'
'Temps de retournement (ms)'	'Junction switchover delay (ms)'	'Umschalten verzögern (ms)'	HASH(0x1ffb80c)	'Tempo di ritorno (ms)'
'Temps de retournement RS485 (ms)'	'RS485 junction switchover delay (ms)'	'RS485 junction umschalten verzögern (ms)'	HASH(0x1ffba40)	'Tempo di ritorno RS485 (ms)'
'temps maximum d'#39'attente'	'Maximum waiting time'	'Maximale Wartezeit'	HASH(0x1ffbc74)	'Tempo massimo di attesa'
'Tension Ph-N'	'Voltage Ph-N'	'Spannung Ph-N'	HASH(0x1ffbea8)	'Tensione Ph-N'
'Tension Ph-Ph'	'Voltage Ph-Ph'	'Spannung Ph-Ph'	HASH(0x1ffc0dc)	'Tensione Ph-Ph'
'Tensions Composées'	'Ph-Ph Voltage'	'Spannung Ph-Ph'	HASH(0x2000f14)	'Ph-Ph Tensione'
'THD courant'	'THD Current'	'THD Strom'	HASH(0x2001148)	'THD Corrente'
'THD tension Ph-Ph'	'THD Voltage Ph-Ph'	'THD Spannung Ph-Ph'	HASH(0x200137c)	'THD Tensione Ph-Ph'
'Time out (ms)'	'Time out (ms)'	'Zeitüberschreitung (ms)'	HASH(0x20015b0)	'Time out'
'Titre'	'Title'	'Titel'	HASH(0x20017e4)	'Titolo'
'Titre de la page sur 24 caractères maximum'	'Title of the page on 24 characters maximum'	'Seitenüberschrift max. 24 Zeichen'	HASH(0x2001a18)	'Massimo 24 caratteri per il titolo della pagina'
'Titre1'	'Title1'	'Titel 1'	HASH(0x2001c4c)	'Titolo 1'
'Titre2'	'Title2'	'Titel 2'	HASH(0x2004a74)	'Titolo 2'
'Titre3'	'Title3'	'Titel 3'	HASH(0x2004ca8)	'Titolo 3'
'TP primaire'	'Primary PT'	'Primär PT'	HASH(0x2004edc)	'PT primario'
'TP secondaire'	'Secondary PT'	'Sekundär PT'	HASH(0x2005110)	'PT secondario'
'Transmettez votre clef personnelle à votre distributeur pour obtenir la '	'Send your personal key to your distributor to get the '	'Senden Sie ihren persönlichen Schlüssel an die Verkaufsstelle, um die folgende Linzenz zu erhalten '	HASH(0x2005344)	'Invia la tua chiave personale al tuo distributore per avere il '
'Type de canal'	'Channel type'	'Kanal Typ'	HASH(0x2005578)	'Tipo di canale'
